,offer_id,offer_date,price,make,model,version,generation,eng_capacity,eng_power,mileage,body,country_of_origin,gearbox,fuel,prod_year,doors,seats,color,condition
8271,6082287774,"10:46, 11 marca 2021",53900.0,Opel,Mokka,Nie podano,Nie podano,1598.0,135.0,107626,SUV,Nie podano,Manualna,Diesel,2016,5.0,5.0,Szary,Używane
8272,6083152106,"10:45, 11 marca 2021",55000.0,Citroën,DS3,Nie podano,Nie podano,1598.0,165.0,35500,Auta miejskie,Polska,Manualna,Benzyna,2018,2.0,5.0,Biały,Używane
8273,6083152205,"10:45, 11 marca 2021",345000.0,BMW,Seria 7,750d xDrive,G11/12 (2015-),2993.0,400.0,31313,Sedan,Polska,Automatyczna,Diesel,2018,4.0,5.0,Czarny,Używane
8274,6083152098,"10:43, 11 marca 2021",29000.0,Peugeot,3008,HDi FAP 150,I (2009-2016),1997.0,149.0,200000,SUV,Niemcy,Manualna,Diesel,2009,5.0,5.0,Czerwony,Używane
8275,6082970663,"10:43, 11 marca 2021",61899.0,Renault,Kadjar,1.2 Energy TCe Zen EDC,Nie podano,1197.0,130.0,160156,SUV,Francja,Automatyczna,Benzyna,2017,5.0,5.0,Biały,Używane
8276,6083152198,"10:43, 11 marca 2021",143499.0,Škoda,Octavia,Nie podano,IV (2020-),1968.0,200.0,1,Sedan,Polska,Automatyczna,Diesel,2020,5.0,5.0,Niebieski,Nowe
8277,6082562195,"10:43, 11 marca 2021",159900.0,Mazda,CX-5,Nie podano,Nie podano,2191.0,184.0,24300,SUV,Polska,Automatyczna,Diesel,2019,5.0,5.0,Czerwony,Używane
8278,6082562169,"10:42, 11 marca 2021",75900.0,BMW,Seria 3,330d Sport Line,F30/F31 (2012-),2993.0,258.0,179000,Kombi,Nie podano,Automatyczna,Diesel,2014,5.0,5.0,Czarny,Używane
8279,6080710481,"10:41, 11 marca 2021",109000.0,Honda,HR-V,1.5 Elegance (ADAS / Connect+),II (2015-),1498.0,130.0,5,SUV,Polska,Manualna,Benzyna,2020,5.0,5.0,Srebrny,Nowe
8280,6082746972,"10:41, 11 marca 2021",48799.0,Seat,Ibiza,Nie podano,V (2017-),999.0,95.0,19877,Kompakt,Polska,Manualna,Benzyna,2018,5.0,5.0,Czerwony,Używane
8281,6082970583,"10:41, 11 marca 2021",45900.0,Kia,Ceed,1.6 GDI SW,II (2012-),1591.0,135.0,83900,Kompakt,Polska,Manualna,Benzyna,2016,5.0,5.0,Inny kolor,Używane
8282,6082970536,"15:48, 12 marca 2021",122014.0,Peugeot,Expert,Nie podano,Nie podano,1997.0,150.0,1,Minivan,Polska,Manualna,Diesel,2020,5.0,9.0,Szary,Nowe
8283,6083152059,"10:41, 11 marca 2021",34900.0,Hyundai,i20,1.0 T-GDi Premium DCT,II (2014-),998.0,100.0,84750,Auta miejskie,Niemcy,Automatyczna,Benzyna,2018,5.0,5.0,Czarny,Używane
8284,6081729638,"10:40, 11 marca 2021",13900.0,Mazda,5,1.8 Comfort,I (2005-2010),1798.0,115.0,195000,Minivan,Niemcy,Manualna,Benzyna,2006,5.0,5.0,Czarny,Używane
8285,6082287225,"10:40, 11 marca 2021",108990.0,Škoda,Kamiq,1.0 TSI Style DSG,Nie podano,999.0,110.0,7,SUV,Nie podano,Automatyczna,Benzyna,2021,5.0,5.0,Czerwony,Nowe
8286,6082694041,"10:39, 11 marca 2021",41900.0,Opel,Insignia,2.0 CDTI Cosmo S&S,A (2008-2017),1956.0,163.0,205000,Kombi,Nie podano,Manualna,Diesel,2014,5.0,5.0,Inny kolor,Używane
8287,6082452693,"10:39, 11 marca 2021",44900.0,Mitsubishi,ASX,Nie podano,Nie podano,1798.0,150.0,93741,SUV,Niemcy,Manualna,Diesel,2014,5.0,5.0,Szary,Używane
8288,6082075244,"10:38, 11 marca 2021",22900.0,Mercedes-Benz,Klasa E,Nie podano,Nie podano,2700.0,177.0,214899,Sedan,Niemcy,Manualna,Diesel,2004,4.0,5.0,Inny kolor,Używane
8289,6082746579,"10:38, 11 marca 2021",28490.0,Volkswagen,Passat,Nie podano,B7 (2010-2014),1598.0,105.0,189000,Kombi,Francja,Manualna,Diesel,2012,5.0,5.0,Czarny,Używane
8290,6079652892,"10:36, 11 marca 2021",44900.0,Honda,CR-V,2.4 EX,III (2006-2012),2354.0,166.0,157400,SUV,Niemcy,Automatyczna,Benzyna,2010,5.0,5.0,Brązowy,Używane
8291,6082075560,"10:36, 11 marca 2021",25900.0,Audi,A8,3.0 TDI Quattro,D3 (2002-2010),2967.0,233.0,209678,Sedan,Niemcy,Automatyczna,Diesel,2005,4.0,5.0,Szary,Używane
8292,6081330686,"10:36, 11 marca 2021",29900.0,Renault,Megane,Nie podano,III (2008-2016),1461.0,110.0,142000,Kombi,Polska,Manualna,Diesel,2016,5.0,5.0,Szary,Używane
8293,6081242096,"10:36, 11 marca 2021",76500.0,BMW,Seria 3,Nie podano,F30/F31 (2012-),1995.0,150.0,84000,Sedan,Polska,Automatyczna,Diesel,2017,4.0,5.0,Niebieski,Używane
8294,6079886462,"10:36, 11 marca 2021",48900.0,Ford,Mondeo,Nie podano,Mk5 (2014-),1499.0,120.0,144000,Kombi,Polska,Manualna,Diesel,2016,5.0,5.0,Złoty,Używane
8295,6082287012,"10:36, 11 marca 2021",24500.0,Volkswagen,Caddy,Nie podano,III (2004-),1598.0,102.0,228000,Minivan,Polska,Manualna,Diesel,2012,5.0,5.0,Srebrny,Używane
8296,6082287022,"10:36, 11 marca 2021",126300.0,Škoda,Karoq,Nie podano,Nie podano,1498.0,150.0,1,SUV,Polska,Automatyczna,Benzyna,2020,5.0,5.0,Niebieski,Nowe
8297,6083151541,"10:35, 11 marca 2021",102900.0,BMW,X1,F48 (2015-),F48 (2015-),1499.0,140.0,36000,SUV,Polska,Automatyczna,Benzyna,2018,5.0,5.0,Biały,Używane
8298,6083151859,"15:50, 12 marca 2021",168705.0,Opel,Zafira,Nie podano,D (2019-),2000.0,177.0,1,Kombi,Polska,Automatyczna,Diesel,2020,4.0,8.0,Czerwony,Nowe
8299,6080533371,"10:34, 11 marca 2021",11900.0,Mazda,Tribute,3.0 V6 Exclusive,Nie podano,2967.0,203.0,198000,SUV,Niemcy,Automatyczna,Benzyna,2005,5.0,5.0,Czarny,Używane
8300,6076171969,"10:34, 11 marca 2021",71900.0,Renault,Megane,1.3 TCe FAP Intens,IV (2016-),1332.0,140.0,15515,Kompakt,Polska,Manualna,Benzyna,2019,5.0,5.0,Niebieski,Używane
8301,6073548529,"10:33, 11 marca 2021",79000.0,Mercedes-Benz,CL,55 AMG,C215 (1999-2006),5439.0,500.0,156000,Coupe,Stany Zjednoczone,Automatyczna,Benzyna,2003,2.0,4.0,Czarny,Używane
8302,6083151837,"10:33, 11 marca 2021",17097.0,Škoda,Fabia,Nie podano,II (2007-),1198.0,70.0,133907,Kompakt,Nie podano,Manualna,Benzyna,2012,5.0,,Biały,Używane
8303,6081288147,"10:33, 11 marca 2021",16900.0,Opel,Astra,GTC 1.6,H (2004-2014),1598.0,115.0,187000,Coupe,Austria,Manualna,Benzyna,2010,3.0,5.0,Szary,Używane
8304,6077730117,"10:33, 11 marca 2021",68999.0,Renault,Megane,1.3 TCe FAP Limited EDC,IV (2016-),1332.0,140.0,30000,Kombi,Polska,Automatyczna,Benzyna,2019,5.0,5.0,Niebieski,Używane
8305,6083151706,"10:33, 11 marca 2021",10900.0,Mercedes-Benz,Klasa C,Nie podano,W203 (2000-2007),,,312000,Sedan,Nie podano,,Diesel,2003,,,Złoty,Używane
8306,6083151701,"10:33, 11 marca 2021",12700.0,Lancia,Delta,1.6 MultiJet 16v,Nie podano,1598.0,120.0,312000,Kompakt,Włochy,Manualna,Diesel,2009,5.0,5.0,Czarny,Używane
8307,6083151794,"10:32, 11 marca 2021",8900.0,Hyundai,i10,1.1 Classic,I (2008-2013),1086.0,66.0,195800,Auta małe,Nie podano,Manualna,Benzyna,2008,5.0,5.0,Złoty,Używane
8308,6077262584,"10:31, 11 marca 2021",89400.0,Mazda,6,2.0 SkyMotion,III (2012-),1998.0,145.0,32450,Sedan,Polska,Automatyczna,Benzyna,2018,5.0,5.0,Biały,Używane
8309,6070751589,"10:30, 11 marca 2021",129900.0,Mercedes-Benz,Klasa B,Nie podano,Nie podano,1461.0,116.0,5,Kompakt,Polska,Automatyczna,Diesel,2020,5.0,5.0,Czarny,Nowe
8310,6081142957,"10:30, 11 marca 2021",26900.0,BMW,Seria 1,120d Coupe,E81/E82/E87/E88 (2004-2013),1995.0,177.0,308000,Coupe,Austria,Manualna,Diesel,2010,2.0,4.0,Czarny,Używane
8311,6081316902,"10:30, 11 marca 2021",25900.0,Peugeot,301,1.6 HDi Allure,Nie podano,1560.0,92.0,83398,Sedan,Polska,Manualna,Diesel,2012,4.0,5.0,Brązowy,Używane
8312,6081276262,"10:30, 11 marca 2021",158999.0,Peugeot,5008,Nie podano,II (2017-),1997.0,180.0,5900,Minivan,Polska,Automatyczna,Diesel,2020,5.0,7.0,Biały,Używane
8313,6079900898,"10:30, 11 marca 2021",56900.0,Peugeot,308,1.6 BlueHDi Business Line S&S,Nie podano,1560.0,120.0,79900,Kombi,Polska,Manualna,Diesel,2018,5.0,5.0,Biały,Używane
8314,6077922328,"10:30, 11 marca 2021",53900.0,Citroën,C3,Nie podano,III (2016-),1199.0,82.0,22161,Auta miejskie,Polska,Manualna,Benzyna,2019,5.0,5.0,Biały,Używane
8315,6083151674,"10:30, 11 marca 2021",286796.0,BMW,Seria 7,730d xDrive,G11/12 (2015-),2993.0,265.0,70000,Sedan,Polska,Automatyczna,Diesel,2018,4.0,5.0,Czarny,Używane
8316,6082562004,"10:29, 11 marca 2021",39900.0,Ford,Mondeo,2.0 TDCi Titanium,Mk5 (2014-),1997.0,150.0,338000,Kombi,Nie podano,Manualna,Diesel,2016,5.0,5.0,Szary,Używane
8317,6078493040,"10:28, 11 marca 2021",426900.0,BMW,X6,Nie podano,G06 (2019-),2993.0,286.0,5,SUV,Nie podano,Automatyczna,Diesel,2020,5.0,5.0,Biały,Nowe
8318,6082970007,"10:28, 11 marca 2021",32500.0,Renault,Scenic,Nie podano,III (2009-2013),1197.0,115.0,88786,Minivan,Nie podano,Manualna,Benzyna,2013,5.0,5.0,Szary,Używane
